Country/Terrain,Acute hepatitis,Alcohol use disorders,Alzheimer's/dementias,Cardiovascular diseases,Conflict/terrorismum,Diabetes,Diarrheal diseases,Digestive diseases,Drowning,Tuberculosis,Terrorism (deaths),Self-harm,respiratory diseaseses,Protein-energy malnutrition,Road injuries,Poisonings,Parkinson,Nutritional deficiencies,Neonatal disorders,Fire/hot substances,Neoplasms,Meningitis,Maternal disorders,Malaria,HIV/AIDS,Drug use disorders,Environmental heat and cold exposure,Exposure of nature,Lower respiratory infectionses,liver diseases,kidney disease,Interpersonal violence
Portugal,356,4609,117671,1168117,11,116415,3272,156107,4219,10734,2,44312,172346,3018,60113,992,26758,3832,8056,5116,807152,2028,266,0,23564,1730,1191,133,172377,80697,87915,7301
Puerto Rico,188,5422,38346,245108,56,82187,1876,48552,1565,1233,0,9228,44738,2307,17447,600,7318,2549,9193,1113,170695,593,322,0,20337,4600,126,2400,37557,31575,41444,25511
Qatar,43,88,525,19305,6,5367,112,3285,752,227,3,2105,1128,5,12711,120,268,30,2754,638,11007,132,198,0,101,99,71,0,1251,2625,2001,377
Region of the Americas (WHO),36733,901419,6170340,53597825,66804,6453025,1888482,9086564,749351,869275,0,2416468,9789196,1115956,4743433,116299,1280530,1213665,4717859,339652,37028759,373427,347883,115109,1900734,889613,68443,327612,8205620,4837394,5874889,4750433
Romania,968,33121,168815,4474916,633,63448,4394,449027,35349,54183,1,79917,288146,1511,100480,18663,45803,1841,31980,16599,1352953,5396,2361,0,7929,5639,11979,349,206799,329765,69874,20677
Russia,3598,1194672,972305,33903781,39125,369649,27964,2398456,423044,529853,4308,1793855,1518195,8167,1067225,298954,236367,15906,237923,322573,9079313,60519,15028,0,350679,259452,573771,3086,1113475,1233608,325433,1215179
Rwanda,6988,2729,12203,278336,528779,41385,308316,108696,8955,209473,3236,20201,67750,73568,70689,6139,2943,75861,209929,6722,148334,53384,36469,198066,226568,351,1687,458,259524,66153,28155,11964
Saint Kitts and Nevis,0,201,222,4545,0,750,108,558,77,42,0,60,264,112,208,0,86,140,287,69,2170,34,38,0,458,0,0,5,601,275,601,270
Saint Lucia,0,180,731,9576,8,2787,164,1246,282,159,2,322,1211,156,771,9,220,182,886,98,5985,75,51,0,254,22,0,27,1195,723,1258,774
Saint Vincent and the Grenadines,0,161,504,8390,4,2447,173,933,227,101,0,213,433,226,331,3,135,250,788,104,4385,67,31,0,696,0,0,25,988,405,849,576
Samoa,30,53,638,13383,0,2902,359,1481,388,455,0,722,3118,126,884,30,249,131,748,60,3773,93,58,0,183,30,30,191,1816,786,1455,338
San Marino,0,0,384,2309,0,111,0,314,0,0,0,103,229,0,90,0,53,0,30,0,2671,0,0,0,25,0,0,0,170,192,80,0
Sao Tome and Principe,103,37,345,6589,0,332,1598,1941,107,771,0,88,2147,496,518,38,106,518,1971,13,3103,261,264,2112,12,10,0,0,3704,1402,1144,256
Saudi Arabia,2156,1903,35620,982797,1001,65129,24024,119165,18507,48535,603,26827,93099,3133,403385,5672,12674,3250,147215,16234,239941,6453,8367,832,11106,3436,244,416,108663,92019,137413,7707
Scotland,60,6755,59042,646751,72,18113,3081,86295,1061,1547,0,21368,122759,317,10981,646,13564,512,4686,1680,509291,1111,195,0,1197,8902,591,82,98258,31560,19391,2013
Senegal,3470,1882,23104,344242,2352,50220,296554,103066,9480,118330,323,24096,64657,26812,44652,6364,6362,27936,314856,7876,158631,71048,47596,313661,66251,370,1831,274,239054,56647,53574,4163
Serbia,246,12618,58299,1871623,15002,96475,881,123698,4993,8575,3,61881,116869,269,33328,1606,19371,521,23352,3585,748460,1491,434,0,1762,1610,2145,110,38458,47483,60218,11085
Seychelles,17,26,446,6339,0,502,160,1280,325,145,0,228,847,61,397,21,142,66,324,60,3820,120,33,0,123,24,0,8,1676,787,948,156
Sierra Leone,6856,989,10415,204497,21270,22070,164175,56378,9389,83713,840,9473,36038,57962,33622,4730,2970,59264,222639,6096,75543,65418,33292,394491,63856,171,1236,1564,261440,32012,23124,2659
Singapore,31,263,20565,166594,5,9045,729,13231,714,2585,5,13921,21242,19,6793,126,3843,39,1659,338,142869,363,95,0,1241,262,60,0,62407,6048,12338,1346
Slovakia,76,5610,43798,818968,7,23085,492,83803,4982,1831,7,24921,31495,157,21269,1045,9216,224,6883,2082,355136,868,154,0,127,952,3807,102,60630,49822,20573,4769
Slovenia,30,4534,24111,220690,28,12043,138,35478,871,755,1,16660,19122,21,8427,293,4564,92,1178,401,158853,279,42,0,110,587,699,50,18440,20852,5357,903
Solomon Islands,388,255,431,48085,4,7852,8630,4532,2886,1322,4,3308,8138,984,3695,389,417,993,4499,502,12015,670,1761,4811,561,80,82,145,15041,3028,2807,1078
Somalia,26233,2876,8593,366002,51392,51124,504287,123721,19779,468031,10242,26119,84506,250235,73067,13080,2520,255787,439571,13471,159580,104739,68767,120767,83076,374,5191,3180,546989,78108,36974,54614
South Africa,4701,17782,141842,2234693,3788,609364,600313,390351,59316,789786,1997,248248,556637,91068,638445,20736,29281,94315,674828,71250,1360234,79896,56368,6150,4874296,7414,15128,877,983661,186085,278319,681957
South Asia (WB),2258458,604595,2339627,70571343,522452,6608552,31666543,15214565,3100904,20069206,0,6481163,30659920,3424564,6390707,288252,969687,4634036,32749802,884634,24749999,2985858,3327176,3029122,2537103,205249,365104,427150,22375805,8535733,6061853,1847748
South Korea,2035,34316,271861,2078568,299,320632,18152,512816,39111,125935,2,339017,381143,5320,309564,12520,55134,9919,38693,20072,2196530,5844,2374,162,2780,4041,9216,2506,215693,355103,141262,29741
